date,location_id,location_name,lat,lon,t_mean_c,precip_mm,data_source
2010-01-01,LOC001,Toronto,43.6532,-79.3832,2.0,0.0,sample_generator
2010-01-01,LOC002,Ottawa,45.4215,-75.6972,2.8,0.0,sample_generator
2010-01-01,LOC003,Montreal,45.5019,-73.5674,3.6,0.0,sample_generator
2010-01-01,LOC004,Vancouver,49.2827,-123.1207,4.4,0.0,sample_generator
2010-01-02,LOC001,Toronto,43.6532,-79.3832,2.6,1.2,sample_generator
2010-01-02,LOC002,Ottawa,45.4215,-75.6972,3.4,0.9,sample_generator
2010-01-02,LOC003,Montreal,45.5019,-73.5674,4.2,0.6,sample_generator
2010-01-02,LOC004,Vancouver,49.2827,-123.1207,5.0,0.3,sample_generator
2010-01-03,LOC001,Toronto,43.6532,-79.3832,3.2,2.4,sample_generator
2010-01-03,LOC002,Ottawa,45.4215,-75.6972,4.0,2.1,sample_generator
2010-01-03,LOC003,Montreal,45.5019,-73.5674,4.8,1.8,sample_generator
2010-01-03,LOC004,Vancouver,49.2827,-123.1207,5.6,1.5,sample_generator
2010-01-04,LOC001,Toronto,43.6532,-79.3832,3.8,3.6,sample_generator
2010-01-04,LOC002,Ottawa,45.4215,-75.6972,4.6,3.3,sample_generator
2010-01-04,LOC003,Montreal,45.5019,-73.5674,5.4,3.0,sample_generator
2010-01-04,LOC004,Vancouver,49.2827,-123.1207,6.2,2.7,sample_generator
2010-01-05,LOC001,Toronto,43.6532,-79.3832,4.4,4.8,sample_generator
2010-01-05,LOC002,Ottawa,45.4215,-75.6972,5.2,4.5,sample_generator
2010-01-05,LOC003,Montreal,45.5019,-73.5674,6.0,4.2,sample_generator
2010-01-05,LOC004,Vancouver,49.2827,-123.1207,6.8,3.9,sample_generator
